交易币对,买入时间,买入价格,买入数量,卖出时间,卖出价格,卖出数量,USDT Value,Fees,PnL,总资金,PnL Ratio,单笔收益率
BCH_USDT,2020-01-14 00:00:00+00:00,275.45,4.4886069879785815,2020-01-17 00:00:00+00:00,323.24,4.4886069879785815,1236.3867948387003,2.687284117632897,211.82,13118.43,1.61%,17.13%
LTC_USDT,2020-01-14 01:00:00+00:00,52.87,23.38073633144695,2020-01-17 00:00:00+00:00,57.19,23.38073633144695,1236.1395298436003,2.5732838406390512,98.43,13216.86,0.74%,7.96%
DASH_USDT,2020-01-14 01:00:00+00:00,72.48,17.04978925314013,2020-01-17 00:00:00+00:00,122.5,17.04978925314013,1235.7687250675967,3.324367908577263,849.51,14066.37,6.04%,68.74%
EOS_USDT,2020-01-14 01:00:00+00:00,3.2483,380.4735751928784,2020-01-17 00:00:00+00:00,3.7895,380.4735751928784,1235.8923142990268,2.6776969274924394,203.23,14269.60,1.42%,16.44%
BNB_USDT,2020-01-14 01:00:00+00:00,15.6237,79.11160070217784,2020-01-17 00:00:00+00:00,17.2611,79.11160070217784,1236.0159158906158,2.601569166770978,126.94,14396.54,0.88%,10.27%
BTT_USDT,2020-01-14 01:00:00+00:00,0.0003276,3771810.5866761,2020-01-17 00:00:00+00:00,0.0003581,3771810.5866761,1235.6451481950903,2.5863305192838015,112.45,14508.99,0.78%,9.10%
ETH_USDT,2020-01-14 01:00:00+00:00,147.34,8.39054673652244,2020-01-17 00:00:00+00:00,163.78,8.39054673652244,1236.2631561592164,2.6104669006668617,135.33,14644.32,0.92%,10.95%
TRX_USDT,2020-01-14 07:00:00+00:00,0.0152,81284.31471580727,2020-01-17 00:00:00+00:00,0.01727,81284.31471580727,1235.5215836802704,2.639301698822262,165.62,14809.94,1.12%,13.40%
ETC_USDT,2020-01-14 11:00:00+00:00,5.8958,209.53865998200456,2020-01-17 00:00:00+00:00,8.2,209.53865998200456,1235.3980315219026,2.9536150433743398,479.87,15289.81,3.14%,38.84%
ADA_USDT,2020-01-16 00:00:00+00:00,0.0423,433.4645259486605,2020-01-19 00:00:00+00:00,0.04529,433.4645259486605,18.33554944762834,0.0379671578278421,1.26,15291.06,0.01%,6.86%
LINK_USDT,2020-01-17 02:00:00+00:00,2.653,576.2727443183395,2020-01-20 00:00:00+00:00,2.6046,576.2727443183395,1528.8515906765547,3.0298115805281016,-30.92,15260.14,-0.20%,-2.02%
ETC_USDT,2020-01-17 04:00:00+00:00,9.1881,166.37810924102777,2020-01-20 00:00:00+00:00,8.4868,166.37810924102777,1528.6987055174873,2.940716443024242,-119.62,15140.52,-0.79%,-7.83%
BNB_USDT,2020-01-17 04:00:00+00:00,18.1747,84.10294726443547,2020-01-20 00:00:00+00:00,17.3529,84.10294726443547,1528.5458356469355,2.987975869231958,-72.10,15068.42,-0.48%,-4.72%
ETH_USDT,2020-01-17 08:00:00+00:00,171.66,8.903605854965459,2020-01-20 00:00:00+00:00,165.68,8.903605854965459,1528.3929810633706,3.003542399114048,-56.25,15012.17,-0.37%,-3.68%
ZEC_USDT,2020-01-17 16:00:00+00:00,61.96,24.66248091915894,2020-01-20 00:00:00+00:00,50.75,24.66248091915894,1528.087317751088,2.779708224398404,-279.25,14732.92,-1.90%,-18.27%
LTC_USDT,2020-01-17 16:00:00+00:00,61.15,24.99166217114088,2020-01-20 00:00:00+00:00,56.96,24.99166217114088,1528.2401417652648,2.9517652190334487,-107.67,14625.26,-0.74%,-7.05%
BCH_USDT,2020-01-17 19:00:00+00:00,368.23,4.149402571814662,2020-01-20 00:00:00+00:00,333.85,4.149402571814662,1527.9345090193128,2.9132125576196377,-145.57,14479.69,-1.01%,-9.53%
